entry_date,exit_date,direction,entry,exit,sl,tp,size,pnl_pct,pnl_abs,reason,div_type
2023-07-20,2023-08-04,short,192.39279363664537,186.19958920464018,195.48939585264796,186.19958920464018,16774.39543581089,3.0190417920235233,506.4260085664172,tp,classical
2023-08-22,2023-08-30,long,174.84785755399471,184.92032745434372,169.8116226038202,184.92032745434372,9715.68289114289,5.560705359079695,540.2604991989717,tp,reverse
2023-10-02,2023-10-09,long,169.0808338409062,176.19090586558386,165.52579782856736,176.19090586558386,13810.330126728097,4.005131866907971,553.121932830779,tp,classical
2023-10-31,2023-11-02,long,167.23417191335412,174.50223091602268,163.60014241201984,174.50223091602268,13858.297262279762,4.146037008772482,574.5701332798226,tp,classical
2023-12-11,2023-12-13,short,190.9485830810774,193.79635031367135,193.79635031367135,185.2530486158895,20942.604478610043,-1.6913790857430875,-354.2188321611054,sl,classical
2024-04-03,2024-04-04,long,167.11374996517486,168.22262776957706,166.55931106297376,168.22262776957706,91911.2111748963,0.46354671870703573,426.0514035251262,tp,classical
2024-04-05,2024-04-10,long,167.90579979250484,166.55931106297376,166.55931106297376,170.59877725156696,39049.86685504015,-1.001931041807396,-391.25273780510474,sl,classical
2024-04-24,2024-04-29,long,164.88609429896647,169.75722795723794,162.45052746983075,169.75722795723794,20649.278791865905,2.7542416411654966,568.7310350859264,tp,classical
2024-06-06,2024-06-07,short,194.0094297097739,195.20900403542353,195.20900403542353,191.61028105847467,51120.92957272062,-0.8183072273569951,-418.32626138565223,sl,classical
2024-10-01,2024-10-07,short,227.81225543239978,220.90402093587122,231.26637268066406,220.90402093587122,20274.325005526705,2.8324244336268776,574.2549352094621,tp,classical
2024-11-13,2024-11-19,long,222.5878574334345,228.6751000139205,219.54423614319148,228.6751000139205,23298.537903590877,2.53475950156285,590.5619032364917,tp,reverse
